X,Y,OBJECTID,ID_MP,MP_INT_RTE_NAME,ROUTEID,COUNTY,ID_PREFIX,ID_RTE_NO,MP_SUFFIX,MUN_SORT,ROAD_NAME,SPEED_LIMIT,ROUTEID_RH,COUNTY_NAME
-77.40210478325902,39.404030525795172,1,0.472,SPEED LIMIT 40 MPH,10000MD00085A 01EE**************,10,MD,85,A ,0,MONOCACY BLVD,40,10000MD00085A-1-----,FREDERICK
-77.378947218652598,39.402792467417562,2,3.01,SPEED LIMIT 40 MPH,10000MD00144FA01WW**************,10,MD,144,FA,0,E PATRICK ST,40,10000MD00144FA1-----,FREDERICK
-77.386314966152668,39.406536822435498,3,3.54,SPEED LIMIT 30 MPH,10000MD00144FA01WW**************,10,MD,144,FA,0,E PATRICK ST,30,10000MD00144FA1-----,FREDERICK
-77.33133949369595,39.393869710830558,4,0.34,SPEED LIMIT 55 MPH,10000MD00144FA01WW**************,10,MD,144,FA,0,E PATRICK ST,55,10000MD00144FA1-----,FREDERICK
-77.541997965387566,39.360806893766821,5,7.92,SPEED LIMIT 30 MPH,10000MD00180  01EE**************,10,MD,180,  ,0,JEFFERSON PIKE,30,10000MD00180--1-----,FREDERICK
-77.284151916187582,39.569818890849533,6,9.709,SPEED LIMIT 55 MPH,10000MD00194  01NN**************,10,MD,194,  ,0,WOODSBORO PIKE,55,10000MD00194--1-----,FREDERICK
-77.341116348514873,39.323794887772429,7,6.86,SPEED LIMIT 40 MPH,10000MD00355  09SS**************,10,MD,355,  ,0,WORTHINGTON BLVD (SB/L),40,10000MD00355--2-----,FREDERICK
-77.66471853931985,39.326869484959467,8,0.04,SPEED LIMIT 25 MPH,10000MD00478  01EE**************,10,MD,478,  ,0,KNOXVILLE RD,25,10000MD00478--1-----,FREDERICK
-77.639159696212275,39.315799759187698,9,1.64,SPEED LIMIT 30 MPH,10000MD00478  01EE**************,10,MD,478,  ,0,KNOXVILLE RD,30,10000MD00478--1-----,FREDERICK
-77.660180326861294,39.324021275793939,10,0.37,SPEED LIMIT 40 MPH,10000MD00478  01EE**************,10,MD,478,  ,0,KNOXVILLE RD,40,10000MD00478--1-----,FREDERICK
-77.308064023411859,39.530744219361338,11,4.79,SPEED LIMIT 30 MPH,10000MD00550  01NN**************,10,MD,550,  ,0,WOODSBORO CREAGERSTOWN RD,30,10000MD00550--1-----,FREDERICK
-77.410091779908612,39.629028403128878,12,0.049,SPEED LIMIT 25 MPH,10000MD00806R 01NN**************,10,MD,806,R ,0,EMMITSBURG RD,25,10000MD00806R-1-----,FREDERICK
-77.496979597406479,39.369406524724376,13,7.574,SPEED LIMIT 65 MPH,10000US00015  01NN**************,10,US,15,  ,0,FREDERICK FREEWAY,65,10000US00015--1-----,FREDERICK
-77.416701586464114,39.629464358246551,14,28.908,SPEED LIMIT 55 MPH,10000US00015  01NN**************,10,US,15,  ,0,FREDERICK FREEWAY,55,10000US00015--1-----,FREDERICK
-77.402822231743841,39.444612212658846,15,15.353,SPEED LIMIT 55 MPH,10000US00015  01NN**************,10,US,15,  ,0,FREDERICK FREEWAY,55,10000US00015--1-----,FREDERICK
-77.329391835667209,39.698716131049487,16,1.57,SPEED LIMIT 40 MPH,10000US00015BU01SS**************,10,US,15,BU,0,S SETON AVE,40,10000US00015BU1-----,FREDERICK
-77.311115670500612,39.713136646699304,17,0.08,SPEED LIMIT 40 MPH,10000US00015BU01SS**************,10,US,15,BU,0,S SETON AVE,40,10000US00015BU1-----,FREDERICK
-77.521178700194341,39.477573671651413,18,6.16,SPEED LIMIT 50 MPH,10000US00040  01EE**************,10,US,40,  ,0,BALTO NATIONAL PIKE,50,10000US00040--1-----,FREDERICK
-77.45019821291676,39.418139294171503,19,12.32,SPEED LIMIT 45 MPH,10000US00040  01EE**************,10,US,40,  ,0,BALTO NATIONAL PIKE,45,10000US00040--1-----,FREDERICK
-77.430221423729606,39.403661578054198,20,15.04,SPEED LIMIT 55 MPH,10000US00040  09WW**************,10,US,40,  ,0,BALTO NATIONAL PIKE (WB/L),55,10000US00040--2-----,FREDERICK
-77.560534238643015,39.449147803585994,21,4.18,SPEED LIMIT 35 MPH,10000US00040AL01EE**************,10,US,40,AL,0,OLD NATIONAL PIKE,35,10000US00040AL1-----,FREDERICK
-77.632866658083856,39.344178501554815,22,2.61,SPEED LIMIT 65 MPH,10000US00340  01EE**************,10,US,340,  ,0,JEFFERSON NATIONAL PIKE,65,10000US00340--1-----,FREDERICK
-77.453038872694719,39.410677619998744,23,0.923,SPEED LIMIT 25 MPH,10057MU00925  01SS**************,10,MU,925,  ,57,MCCAIN DR,25,10057MU00925--1-----,FREDERICK
-77.412628562982164,39.468258531597719,24,0.075,SPEED LIMIT 25 MPH,10057MU00926  01EE**************,10,MU,926,  ,57,MCCLELLAN DR,25,10057MU00926--1-----,FREDERICK
-77.387559343026936,39.449590802105376,25,1.286,SPEED LIMIT 25 MPH,10057MU00998  01NN**************,10,MU,998,  ,57,MONOCACY BLVD,25,10057MU00998--1-----,FREDERICK
-77.410709232427578,39.425210575095662,26,0.055,SPEED LIMIT 25 MPH,10057MU01025  01SS**************,10,MU,1025,  ,57,MOTTER AVE,25,10057MU01025--1-----,FREDERICK
-77.466015310959989,39.422580230504295,27,0.193,SPEED LIMIT 25 MPH,10057MU01115  01NN**************,10,MU,1115,  ,57,OLD CAMP RD,25,10057MU01115--1-----,FREDERICK
-77.34891821496079,39.482827729978077,28,0.015,SPEED LIMIT 25 MPH,10152MU00100  01NN**************,10,MU,100,  ,152,MAIN ST,25,10152MU00100--1-----,FREDERICK
-79.473318234353371,39.663248958564026,29,0.18,SPEED LIMIT 70 MPH,11000IS00068  01EE**************,11,IS,68,  ,0,NATIONAL FREEWAY,70,11000IS00068--1-----,GARRETT
-79.146010148946615,39.693060556444138,30,19.78,SPEED LIMIT 70 MPH,11000IS00068  01EE**************,11,IS,68,  ,0,NATIONAL FREEWAY,70,11000IS00068--1-----,GARRETT
-79.057646197316018,39.682569551241279,31,24.67,SPEED LIMIT 70 MPH,11000IS00068  01EE**************,11,IS,68,  ,0,NATIONAL FREEWAY,70,11000IS00068--1-----,GARRETT
-79.430759659334385,39.65965873562309,32,28.13,SPEED LIMIT 70 MPH,11000IS00068  09WW**************,11,IS,68,  ,0,NATIONAL FREEWAY (WB/L),70,11000IS00068--2-----,GARRETT
-79.3653633828322,39.393660568597589,33,8.75,SPEED LIMIT 30 MPH,11000MD00560  01NN**************,11,MD,560,  ,0,PAULL ST,30,11000MD00560--1-----,GARRETT
-79.409553499629752,39.404598655118363,34,0.344,SPEED LIMIT 25 MPH,11113MU00420  01NN**************,11,MU,420,  ,113,THIRD ST,25,11113MU00420--1-----,GARRETT
-76.315756548657632,39.478903023668799,35,3.14,SPEED LIMIT 30 MPH,12000CO00246  01EE**************,12,CO,246,  ,0,SINGER RD,30,12000CO00246--1-----,HARFORD
-76.368134953000379,39.465463518145285,36,0.03,SPEED LIMIT 30 MPH,12000CO00246  01EE**************,12,CO,246,  ,0,SINGER RD,30,12000CO00246--1-----,HARFORD
-76.658906863375989,39.625308805751757,37,18.76,SPEED LIMIT 35 MPH,03000MD00045  01NN**************,3,MD,45,  ,0,YORK RD,35,03000MD00045--1-----,BALTIMORE
-76.473976781022046,39.346287291529116,38,3.75,SPEED LIMIT 35 MPH,03000MD00007  01EE**************,3,MD,7,  ,0,PHILADELPHIA RD,35,03000MD00007--1-----,BALTIMORE
-76.839199693112988,39.54995394869907,39,5.61,SPEED LIMIT 50 MPH,03000MD00030  01NN**************,3,MD,30,  ,0,HANOVER PIKE,50,03000MD00030--1-----,BALTIMORE
-76.457200938025522,39.379387506153378,40,3.749,SPEED LIMIT 50 MPH,03000MD00043  01EE**************,3,MD,43,  ,0,WHITE MARSH BLVD,50,03000MD00043--1-----,BALTIMORE
-76.756833990263814,39.463747999901393,41,7.41,SPEED LIMIT 40 MPH,03000MD00129  01NN**************,3,MD,129,  ,0,PARK HEIGHTS AVE,40,03000MD00129--1-----,BALTIMORE
-76.772730130170572,39.60129702955475,42,1.94,SPEED LIMIT 40 MPH,03000MD00137  01EE**************,3,MD,137,  ,0,MT CARMEL RD,40,03000MD00137--1-----,BALTIMORE
-76.798726527381689,39.611000019621635,43,0.136,SPEED LIMIT 35 MPH,03000MD00137  01EE**************,3,MD,137,  ,0,MT CARMEL RD,35,03000MD00137--1-----,BALTIMORE
-76.661491090971268,39.589201105758455,44,0.09,SPEED LIMIT 35 MPH,03000MD00138  01EE**************,3,MD,138,  ,0,SHEPPERD RD,35,03000MD00138--1-----,BALTIMORE
-76.760148896731408,39.267009055000642,45,2.06,SPEED LIMIT 35 MPH,03000MD00144  01EE**************,3,MD,144,  ,0,FREDERICK RD,35,03000MD00144--1-----,BALTIMORE
-76.744948352891853,39.269112308628102,46,2.91,SPEED LIMIT 30 MPH,03000MD00144  01EE**************,3,MD,144,  ,0,FREDERICK RD,30,03000MD00144--1-----,BALTIMORE
-76.558037902154695,39.51709690042204,47,5.68,SPEED LIMIT 35 MPH,03000MD00145  01EE**************,3,MD,145,  ,0,PAPER MILL RD,35,03000MD00145--1-----,BALTIMORE
-76.560069272388162,39.51594247142846,48,9.06,SPEED LIMIT 30 MPH,03000MD00146  01NN**************,3,MD,146,  ,0,DULANEY VALLEY RD,30,03000MD00146--1-----,BALTIMORE
-76.601608725785283,39.404140844006498,49,0.15,SPEED LIMIT 30 MPH,03000MD00146  01NN**************,3,MD,146,  ,0,DULANEY VALLEY RD,30,03000MD00146--1-----,BALTIMORE
-76.542707817657913,39.373949836863623,50,0.17,SPEED LIMIT 25 MPH,03000MD00147  01NN**************,3,MD,147,  ,0,HARFORD RD,25,03000MD00147--1-----,BALTIMORE
-76.529216312358187,39.288145900910969,51,0.02,SPEED LIMIT 35 MPH,03000MD00150  01EE**************,3,MD,150,  ,0,EASTERN BLVD,35,03000MD00150--1-----,BALTIMORE
-76.463984579368287,39.261490009958074,52,3.08,SPEED LIMIT 45 MPH,03000MD00151  01NN**************,3,MD,151,  ,0,NORTH POINT BLVD,45,03000MD00151--1-----,BALTIMORE
-76.720141970107306,39.247536905250591,53,0.63,SPEED LIMIT 30 MPH,03000MD00166  01NN**************,3,MD,166,  ,0,METROPOLITAN BLVD,30,03000MD00166--1-----,BALTIMORE
-76.7149669706899,39.243974509643913,54,2.455,SPEED LIMIT 50 MPH,03000MD00166  09SS**************,3,MD,166,  ,0,ROLLING RD (SB/L),50,03000MD00166--2-----,BALTIMORE
-76.566589616622821,39.401672937547438,55,0.07,SPEED LIMIT 40 MPH,03000MD00542  09SS**************,3,MD,542,  ,0,LOCH RAVEN BLVD (SB/L),40,03000MD00542--2-----,BALTIMORE
-76.484442664325115,39.2819965744877,56,5.795,SPEED LIMIT 55 MPH,03000MD00695  01NN**************,3,MD,695,  ,0,BALTIMORE BELTWAY (INNER LOOP),55,03000MD00695--1-----,BALTIMORE
-76.519303171432597,39.364856008692016,57,16.557,SPEED LIMIT 40 MPH,03000US00001  01NN**************,3,US,1,  ,0,WASHINGTON BLVD,40,03000US00001--1-----,BALTIMORE
-76.504128906010038,39.29098253331987,58,0.318,SPEED LIMIT 40 MPH,03000RP00695  02SSMD39        06,3,RP,695,  ,0,RAMP 6 FR MD 695 EB TO MD 157 SB,40,03000RP00695--103906,BALTIMORE
-76.716530994193405,39.25512335632277,59,0.306,SPEED LIMIT 25 MPH,03000SR00042  03NN**************,3,SR,42,  ,0,HILLTOP CIR,25,03000SR00042--1-----,BALTIMORE
-76.423562140602755,39.4429783591887,60,24.04,SPEED LIMIT 40 MPH,03000US00001  01NN**************,3,US,1,  ,0,WASHINGTON BLVD,40,03000US00001--1-----,BALTIMORE
-76.417456997692398,39.450286265381742,61,24.642,SPEED LIMIT 40 MPH,03000US00001  01NN**************,3,US,1,  ,0,WASHINGTON BLVD,40,03000US00001--1-----,BALTIMORE
-76.69215241789324,39.232200610653628,62,1.268,SPEED LIMIT 50 MPH,03000US00001  01NN**************,3,US,1,  ,0,WASHINGTON BLVD,50,03000US00001--1-----,BALTIMORE
-76.463608095432718,39.345891270467135,63,18.42,SPEED LIMIT 55 MPH,03000US00040  01EE**************,3,US,40,  ,0,PULASKI HWY,55,03000US00040--1-----,BALTIMORE
-76.585316994776861,38.54816857922588,64,0.4,SPEED LIMIT 30 MPH,04000CO00039  01SS**************,4,CO,39,  ,0,ARMORY RD,30,04000CO00039--1-----,CALVERT
-76.590354904095378,38.60921067823665,65,0.02,SPEED LIMIT 25 MPH,04000CO01829  01SS**************,4,CO,1829,  ,0,MAYBROOK DR,25,04000CO01829--1-----,CALVERT
-76.588755792396853,38.531847848626143,66,0.01,SPEED LIMIT 25 MPH,04000CO01838  01EE**************,4,CO,1838,  ,0,EQUESTRIAN WAY,25,04000CO01838--1-----,CALVERT
