,Roads,Speed Limit
0,15TH ST,21.66666667
1,16TH ST,36.92307692
2,38TH ST,40
3,4H PARK RD,25
4,57TH AVE,36.66666667
5,5TH ST EXT,40
6,9TH ST,40
7,ACCOKEEK RD,50
8,ADELINA RD,35
9,ADMIRAL DR,49.44444444
10,AIKEN AVE,37.14285714
11,AILSA AVE,35
12,AIRCRAFT DR,35
13,AIRPORT DR,25
14,AIRPORT RD,37.27272727
15,ALDINO RD,45
16,ALESIA TO LINEBORO RD,25
17,ALLENTOWN RD,36.66666667
18,AMTRAK WAY,35
19,ANACOSTIA FREEWAY,30
20,ANDOVER RD,25
21,ANNAPOLIS RD,25
22,ANNAPOLIS ST,37
23,APPLETON RD,30
24,ARDMORE RD,40
25,ARIS T ALLEN BLVD,30
26,ARNOLD RD,31.25
27,ARUNDEL CORP RD,50
28,ARUNDEL MILLS BLVD,35
29,ASSATEAGUE RD,50
30,AURORA ST,40
31,AVIATION BLVD,25
32,AVILTON LONACONING RD,48.75
33,BACHMANS VALLEY RD,25
34,BALDWIN MILL RD,30
35,BALLENGER CREEK PIKE,40
36,BALTIMORE AVE,25
37,BALTIMORE AVE #2,40
38,BALTIMORE PIKE,35
39,BALTIMORE ST,25
40,BALTIMORE WASHINGTON PKWY,36.25
41,BALTO ANNAPOLIS BLVD,30
42,BALTO NATIONAL PIKE,25
43,BARCLAY RD,25
44,BARKSDALE RD,41
45,BARNESVILLE RD,30
46,BARRELVILLE RD,40
47,BARTHOLOWS RD,45
48,BATTS NECK RD,35
49,BAUGHMANS LA,25
50,BAY FRONT RD,35.9375
51,BAY RIDGE RD,25
52,BAYARD RD,25
53,BAYSIDE RD,35
54,BEACH DR,45.26315789
55,BEARDS HILL RD,40
56,BECKLEYSVILLE RD,35
57,BEDFORD RD,35
58,BEDFORD ST,30
59,BEL ALTON NEWTOWN RD,42.08333333
60,BELAIR DR,35
61,BELCREST RD,30
62,BELFAST RD,25
63,BELLE AVE,43.125
64,BELLONA AVE,30
65,BENSVILLE RD,31
66,BERRY RD,38
67,BESTGATE RD,25
68,BETHEL RD,35
69,BETHESDA CHURCH RD,25
70,BETHLEHEM BLVD,25
71,BETHLEHEM RD,30
72,BEVERLY AVE,25
73,BI STATE BLVD,25
74,BIDDLE ST,35
75,BIG POOL RD,25
76,BILLINGSLEY RD,42.10526316
77,BISHOPVILLE RD,30
78,BITTINGER RD,50
79,BLACK DOG ALLEY,30
80,BLACK VALLEY RD,30
81,BLACKROCK RD,40
82,BLAIR RD,25
83,BLENHEIM RD,37.5
84,BLOOMINGTON RD,41.25
85,BLUE STAR MEMORIAL HWY,33.33333333
86,BOLLINGER RD,50
87,BONAPARTE AVE,35
88,BOOTH ST,40
89,BOSTON AVE,35
90,BOSTON ST,40
91,BOSWELL LA,25
92,BOULTON ST,42
93,BOUNDRY AVE,25
94,BOWERS RD,30
95,BOWLEYS LA,30
96,BOX HILL S PKWY,35
97,BOYDS TURN RD,35
98,BOZMAN NEAVITT RD,50
99,BRADDOCK RD,25
100,BRADLEY BLVD,25
101,BRANCH AVE,44.47368421
102,BRANDYWINE RD,25
103,BRASS MILL RD,25
104,BREHMS LA,40
105,BRENBROOK DR,30
106,BRIDGETOWN RD,44.54545455
107,BRIGHTFIELD RD,25
108,BRIGHTVIEW DR,25
109,BROAD NECK RD,39.54545455
110,BROAD ST,30
111,BROADWAY RD,30
112,BROENING HWY,42.5
113,BROKEN LAND PKWY,30
114,BROOKVILLE RD,50
115,BROOMES ISLAND RD,28.33333333
116,BROWNINGSVILLE RD,40
117,BROWNS BRIDGE RD,25
118,BRYAN POINT RD,38
119,BUCK HEWITT RD,28.33333333
120,BUDDS CREEK RD,40
121,BURBAGE CROSSING RD,35
122,BURNS CROSSING RD,40
123,BURRSVILLE RD,30
124,BUSCHS FRONTAGE RD,35
125,BUSH ST,25
126,BUSINESS PKWY,30
127,BUTLER RD,50
128,BYNUM RD,35
129,CAL RIPKEN WAY,35
130,CALVARY RD,30
131,CALVERT BEACH RD,45
132,CALVERT RD,25
133,CALVERTON BLVD,37
134,CAMPBELL BLVD,46
135,CAMPGROUND RD,35
136,CAMPUS DR,25
137,CANAL PKWY,25
138,CAPE ST CLAIRE RD,30
139,CAPITAL BELTWAY,25
140,CAPITOL VIEW AVE,30
141,CARROLL AVE,30
142,CARROLL ST,40
143,CARSINS RUN RD,30
144,CASTLETON RD,40
145,CATOCTIN FURNACE RD,30
146,CATON AVE,25
147,CAYOTS CORNER RD,45
148,CECILTON WARWICK RD,35
149,CEDAR HALL RD,45
150,CEDAR LA,44
151,CEDARDAY DR,47.77777778
152,CENTER DR,40
153,CENTER ST,39.25
154,CENTRAL AVE,30
155,CHAMBER AVE,40
156,CHANCELLORS RUN RD,25
157,CHAPEL FORGE DR,36.66666667
158,CHAPEL RD,25
159,CHARLES ST,50
160,CHERRY HILL RD,38.15789474
161,CHERRY LA,30
162,CHERRYWOOD LA,30
163,CHESAPEAKE AVE,25
164,CHESAPEAKE BEACH RD,35
