,X,Y,AADT 2015,AADT 2016
0,-77.0772114,39.00263232,"70,432","76,640"
1,-76.08905922,39.69774693,"5,062","5,310"
2,-76.78455803,39.12262242,"3,660","3,741"
3,-76.82139984,39.09942891,"4,604","4,705"
4,-75.85472557,38.81546469,921,952
5,-76.80043057,39.22135658,"98,142","100,550"
6,-78.91659029,39.61960182,473,494
7,-76.65668751,38.76277219,"7,160","7,381"
8,-76.63434057,39.1852162,"8,201","8,362"
9,-77.53341413,39.2840325,"20,990","21,661"
10,-77.31866569,39.60673223,971,"1,002"
11,-78.43792192,39.66752268,165,150
12,-76.74639285,39.30796264,"29,723","31,690"
13,-77.5622115,39.51157565,"5,795","6,500"
14,-77.41519615,39.18152283,"6,610","6,831"
15,-77.41579638,39.40865527,"4,832","4,660"
16,-76.65331647,39.29614552,"5,503","5,614"
17,-76.63878066,39.18024182,"18,763","19,134"
18,-76.34454752,39.53196349,"11,090","11,301"
19,-76.90448113,38.99134144,"41,110","41,891"
20,-76.48572398,39.41063646,853,874
21,-79.07234947,39.48121188,282,293
22,-77.40476356,39.40757059,"16,372","18,050"
23,-78.76532434,39.65152495,"1,402","1,443"
24,-77.1043982,39.01920705,"11,300","11,541"
25,-78.89545548,39.67860918,"2,370","2,411"
26,-76.95398023,39.07918214,"5,321","5,432"
27,-78.38214118,39.69357308,551,572
28,-76.62438503,39.35379884,"4,593","4,694"
29,-77.16736842,39.35715089,"3,223","3,294"
30,-76.90094384,38.9960206,"3,845","3,600"
31,-76.12578281,38.96427518,"1,150","1,181"
32,-76.46932496,39.38676481,"9,393","9,574"
33,-76.99246006,38.9937111,"39,700","40,461"
34,-75.24033716,38.4322073,361,382
35,-76.98844701,39.56782222,"10,380","10,571"
36,-78.74744642,39.65673369,372,383
37,-76.76496377,38.82029025,"9,993","10,184"
38,-77.0071416,39.43060949,804,835
39,-77.5885757,39.35634645,"27,180","28,041"
40,-77.47804832,39.37975654,"6,750","6,881"
41,-75.84355606,39.63787143,"11,361","11,732"
42,-76.5482333,39.12229626,"1,634","1,620"
43,-76.46015465,39.38230084,"35,204","35,885"
44,-76.49419754,39.28502708,"2,665","2,840"
45,-75.74786675,38.21996325,"1,722","1,783"
46,-76.870407,39.18997058,"3,045","3,230"
47,-76.888413,39.06158154,"6,961","7,102"
48,-77.07504504,39.5907573,"3,022","3,190"
49,-76.49602948,39.42257565,"8,455","8,400"
50,-76.92380156,38.86610144,"4,281","4,372"
51,-75.82599815,38.88726336,"6,610","6,831"
52,-78.73725555,39.66612959,562,573
53,-77.31418766,39.18476803,"5,442","5,460"
54,-77.01982471,38.79886612,"19,134","20,950"
55,-76.49401302,38.88617909,"1,004","1,035"
56,-76.90565149,38.8052108,"10,042","10,233"
57,-76.64393595,39.45505254,"9,142","9,343"
58,-77.48603824,39.42539545,"4,212","4,313"
59,-76.14537206,39.25962438,"2,265","2,090"
60,-76.45581074,39.23934573,"8,691","8,862"
61,-76.97944698,38.79949905,"16,343","16,654"
62,-75.53169475,38.12050648,611,622
63,-76.63207555,39.4133741,"6,963","7,104"
64,-76.64061257,39.12785939,"6,995","6,700"
65,-77.73559344,39.72106983,985,990
66,-76.92625055,39.58798809,"3,072","3,143"
67,-77.32121934,39.34377546,"5,831","6,022"
68,-76.6850066,39.34399333,"15,630","15,931"
69,-78.97633904,39.68805863,445,460
70,-77.3518848,39.12758994,"6,364","6,595"
71,-76.19720095,39.20512484,663,694
72,-76.92115676,39.38222563,"2,162","2,050"
73,-76.79890969,38.54985271,"4,711","4,862"
74,-76.64258535,39.16927705,"4,305","4,180"
75,-75.77830739,38.7013862,681,712
76,-75.84360274,37.99568626,"1,420","1,450"
77,-78.75047811,39.6547619,"36,870","37,641"
78,-76.53359966,39.38451224,"26,012","25,510"
79,-76.60194706,39.41213711,"6,511","6,652"
80,-75.95260711,39.3340417,681,712
81,-76.6236044,39.09309252,"9,225","9,940"
82,-76.91916641,38.93768017,"5,851","5,972"
83,-76.71281915,39.29908795,"6,133","6,254"
84,-76.81568956,39.22706894,"22,973","23,414"
85,-77.73438575,39.69006187,555,530
86,-77.76256499,39.68986147,"3,521","3,592"
87,-77.34880612,39.39805301,,
88,-77.28158073,39.06112034,"2,313","2,364"
89,-77.13999384,39.20461414,"9,500","9,801"
90,-78.77244323,39.64778133,,
91,-76.65405907,39.10311166,"4,601","4,692"
92,-76.18894112,39.19955491,"5,053","5,224"
93,-75.57045832,38.33400207,674,695
94,-75.82844589,39.66040703,"3,490","3,500"
95,-76.58496,38.98410185,"7,034","7,195"
96,-76.57884645,39.41017949,"2,554","2,615"
97,-75.56211647,38.21695226,781,812
98,-77.07625001,39.00061826,"2,241","2,282"
99,-76.7428758,39.29853443,"182,600","195,670"
100,-76.16089689,38.49761597,"2,463","2,544"
101,-76.35033897,39.42982869,"28,140","28,681"
102,-76.66467551,39.54780172,"1,044","1,085"
103,-76.06726202,38.7260183,"30,701","31,642"
104,-76.09688662,39.28399272,"2,675","2,500"
105,-76.82346289,39.10863424,"10,194","10,415"
106,-78.78971495,39.64495503,"2,432","1,450"
107,-76.66413287,39.24161852,"2,383","2,434"
108,-78.97717319,39.68876608,"2,072","2,143"
109,-75.81965854,38.8942906,745,810
110,-75.89067246,38.18524523,"1,432","1,460"
111,-77.60687999,39.5376384,"6,635","6,650"
112,-77.04605791,38.58643919,"3,274","3,395"
113,-76.98466438,39.54099261,"2,504","2,565"
114,-76.53753113,39.37998258,"22,522","22,120"
115,-76.64129011,39.70628993,"3,865","3,780"
116,-76.57655712,38.34408377,"8,982","9,273"
117,-76.71721963,39.36840984,"26,110","26,601"
118,-76.78313446,38.47320211,"6,340","6,541"
119,-76.73355722,39.38368252,"2,864","6,330"
120,-77.15069938,39.08723315,"6,883","7,024"
121,-76.64328461,39.1451533,"2,395","2,780"
122,-77.16071004,39.3642066,"11,862","12,083"
123,-77.32069295,39.60539252,"1,294","1,345"
124,-76.81976509,39.19775605,"33,752","34,393"
125,-76.87044113,38.83997676,"8,425","8,990"
126,-77.51050739,39.32938927,"18,048","18,427"
127,-76.67496812,38.99913001,"2,224","2,275"
128,-76.49481186,39.33321407,"8,173","8,334"
129,-76.61390005,39.41283981,"13,161","13,432"
130,-76.71693614,39.26180196,"12,703","12,954"
131,-76.66222262,39.41124043,"3,824","3,905"
132,-77.23132944,39.48308183,"5,985","6,170"
133,-77.42307351,39.37945795,,
134,-76.46386354,39.35510757,"9,173","9,364"
